fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00142_pIC50	14
O00182_pKd	15
O00311_pIC50	32
O00329_pIC50	64
O00329_pKi	34
O00400_pIC50	20
O00408_pIC50	49
O00444_pIC50	20
O00487_pIC50	39
O00519_pIC50	44
O00519_pKi	25
O00748_pIC50	15
O00748_pKi	16
O00763_pIC50	24
O00767_pIC50	42
O14672_pIC50	36
O14684_pIC50	95
O14727_pIC50	53
O14746_pEC50	8
O14746_pIC50	21
O14757_pEC50	43
O14757_pIC50	58
O14757_pKi	22
O14763_pEC50	8
O14786_pIC50	4
O14842_pEC50	38
O14842_pKi	15
O14920_pIC50	41
O14939_pIC50	56
O14965_pIC50	73
O14965_pKd	16
O14965_pKi	36
O14976_pKd	18
O15111_pIC50	32
O15120_pIC50	28
O15244_pIC50	44
O15245_pIC50	15
O15305_pIC50	29
O15379_pIC50	48
O15492_pEC50	2
O15530_pIC50	44
O15552_pIC50	6
O43174_pIC50	17
O43193_pEC50	20
O43193_pKi	13
O43318_pIC50	12
O43353_pIC50	9
O43451_pIC50	14
O43497_pIC50	33
O43521_pEC50	18
O43526_pEC50	43
O43570_pKi	72
O43603_pIC50	21
O43613_pEC50	5
O43613_pIC50	62
O43613_pKd	8
O43613_pKi	41
O43614_pEC50	5
O43614_pIC50	53
O43614_pKd	10
O43614_pKi	23
O60218_pIC50	24
O60240_pIC50	8
O60341_pIC50	25
O60341_pKi	14
O60502_pKi	41
O60563_pIC50	31
O60563_pKi	21
O60674_pIC50	88
O60674_pKi	36
O60706_pEC50	18
O60725_pIC50	35
O60755_pIC50	22
O60760_pIC50	21
O60885_pIC50	12
O60911_pIC50	17
O75116_pIC50	15
O75116_pKi	10
O75173_pIC50	28
O75460_pEC50	32
O75460_pIC50	32
O75469_pEC50	46
O75475_pIC50	11
O75582_pIC50	11
O75762_pEC50	22
O75762_pIC50	8
O75907_pIC50	29
O75908_pIC50	8
O76074_pIC50	82
O76074_pKi	31
O76083_pIC50	14
O94925_pIC50	51
O95136_pIC50	30
O95180_pEC50	10
O95180_pIC50	18
O95263_pIC50	30
O95271_pIC50	14
O95342_pIC50	57
O95399_pEC50	16
O95461_pEC50	27
O95551_pEC50	23
O95551_pIC50	27
O95749_pIC50	39
O95822_pIC50	42
O95977_pEC50	30
O95977_pIC50	33
O96017_pIC50	49
P00338_pIC50	16
P00338_pKd	16
P00374_pIC50	42
P00374_pKi	64
P00390_pIC50	3
P00488_pIC50	14
P00491_pIC50	35
P00491_pKi	20
P00492_pKi	7
P00519_pEC50	11
P00519_pIC50	99
P00519_pKd	19
P00519_pKi	68
P00533_pIC50	117
P00533_pKd	4
P00533_pKi	6
P00734_pIC50	75
P00734_pKi	121
P00736_pIC50	25
P00740_pKi	26
P00742_pIC50	94
P00742_pKi	93
P00747_pIC50	20
P00747_pKi	32
P00748_pIC50	14
P00748_pKi	19
P00749_pIC50	60
P00749_pKi	31
P00750_pIC50	41
P00750_pKi	61
P00797_pIC50	98
P00797_pKi	7
P00813_pKi	11
P00915_pIC50	8
P00915_pKd	11
P00915_pKi	87
P00918_pIC50	46
P00918_pKd	53
P00918_pKi	74
P01275_pKi	26
P01375_pIC50	21
P01375_pKi	27
P02766_pIC50	2
P02768_pKd	29
P03372_pEC50	34
P03372_pIC50	104
P03372_pKi	18
P03951_pIC50	59
P03951_pKi	22
P03952_pKi	30
P03956_pIC50	110
P03956_pKi	42
P04035_pIC50	17
P04054_pIC50	26
P04062_pIC50	31
P04062_pKi	27
P04066_pIC50	9
P04066_pKi	21
P04070_pKi	17
P04150_pEC50	15
P04150_pIC50	100
P04150_pKi	50
P04156_pIC50	21
P04183_pIC50	15
P04278_pKd	12
P04406_pIC50	24
P04439_pIC50	30
P04626_pIC50	65
P04629_pIC50	13
P04798_pIC50	14
P04818_pIC50	45
P04818_pKi	34
P05067_pIC50	19
P05067_pKi	39
P05091_pIC50	10
P05093_pIC50	16
P05106_pIC50	73
P05106_pKi	15
P05121_pIC50	55
P05129_pIC50	32
P05164_pIC50	15
P05181_pIC50	7
P05186_pEC50	24
P05186_pIC50	42
P05230_pKd	18
P05362_pIC50	39
P05412_pIC50	26
P05556_pIC50	25
P05771_pIC50	51
P06213_pIC50	19
P06239_pIC50	73
P06239_pKd	17
P06241_pIC50	48
P06401_pEC50	36
P06401_pIC50	69
P06401_pKi	31
P06493_pIC50	53
P06493_pKi	35
P06734_pIC50	7
P06746_pIC50	27
P06756_pIC50	10
P06870_pKi	14
P07099_pIC50	41
P07333_pIC50	50
P07333_pKd	32
P07339_pIC50	70
P07339_pKi	11
P07384_pIC50	35
P07384_pKi	17
P07477_pIC50	24
P07477_pKi	47
P07550_pEC50	25
P07550_pIC50	22
P07550_pKd	16
P07550_pKi	14
P07711_pIC50	63
P07711_pKi	45
P07858_pIC50	54
P07858_pKi	41
P07900_pIC50	42
P07900_pKd	43
